name,comments,pr,issues,handle_issue
patrickmaynard,0,1,1,0
jgaedicke,0,2,5,0
2DSharp,0,0,1,0
Flinou,0,0,1,0
suratpyari,0,0,1,0
AndrewMcQuerry,0,0,1,0
JanecekJ,0,0,1,0
CrazyBeeline,0,0,2,0
ChenJhua,0,0,1,0
peonone,0,1,1,0
TomasKuznetsov,0,0,1,0
alexshadow007,6,31,31,0
danielyahn,0,0,1,0
stampycode,0,0,1,0
amdious,0,0,2,0
MauDagos,0,0,1,0
BIYS,0,0,2,0
sebastienD,0,1,1,0
pulysak,0,1,1,0
ishanray,0,1,1,0
pal-thomassen,0,0,1,0
bmorelli25,2,7,9,5
olcbean,169,65,83,0
AE777F63,0,0,2,0
njam,1,0,1,0
bizybot,803,217,266,45
tadijam64,0,0,2,0
AlexeyRaga,1,0,1,0
javiervargas,0,0,1,0
RvI101,0,1,1,0
dougnelas,0,0,5,1
clandry94,0,3,8,0
snicoll,0,0,1,0
gmmorris,0,0,1,0
csetzkorn,0,0,1,0
dandion,0,2,2,0
iandanforth-alation,0,3,3,0
Charlie-belmer,0,1,1,0
xiahongju,0,1,1,0
dennybaa,0,0,1,0
ypid-geberit,0,0,7,0
ghost,86,19,82,0
hydrogen666,0,1,4,0
JosemyDuarte,2,1,1,0
mekanixdk,0,0,2,0
pankaj-k,0,0,1,0
dolsem,0,0,1,0
SSchuetrumpf,0,0,1,0
csenol,0,0,2,0
wchrisdean,0,6,6,7
centic9,6,6,17,0
renshuki,2,4,5,0
Leehom23,0,0,1,0
liuchintao,0,0,1,0
nithasha-samad,0,1,1,0
tomcallahan,48,19,25,10
naag,0,0,2,0
shiwenjie12,0,3,3,0
bhartishradha,0,0,1,0
kaiyan-sheng,0,0,1,0
AlexJF,0,1,1,0
btrice,0,2,2,0
Suchita94,0,3,3,0
ptahchiev,0,0,2,0
boba-bugs,0,0,1,0
akleandrov,0,0,1,0
jvwilge,0,0,3,0
wilder,0,6,6,0
A-Hall,0,0,6,0
pedroprado010,0,4,4,0
dansimpson,0,0,1,0
lostpebble,0,0,1,0
nicolasSoares,0,0,1,0
siffash,0,2,2,0
rsarawgi,2,1,1,0
mw-ding,3,4,4,0
Oofles,1,1,1,0
alaudazzi,0,1,1,0
18549,0,0,1,0
SylvainJuge,0,1,1,0
nkvoll,23,5,16,0
howardhuanghua,15,7,8,0
nitin2goyal,0,0,2,0
hping16,0,1,1,0
monster0007,0,0,1,0
tiitginter,0,0,2,0
UW-SG,0,0,1,0
DemonGyro,0,0,1,0
e-mars,0,0,1,0
rneil06,0,0,1,0
ilamparithi10,0,0,1,0
John33000,0,0,2,0
BFLB,0,0,2,0
SuXingLee,0,3,4,0
ScottieL,1,1,1,0
uschindler,189,34,45,0
fedde-s,0,0,1,0
willemdh,0,0,1,0
esetea,0,0,1,0
LHJ1024,0,0,1,0
RemeoJenius,0,0,1,0
shiyu1992,0,0,1,0
huanggze,0,0,1,0
dengweisysu,4,4,6,0
marekduciuc,0,0,1,0
TuulaP,0,0,1,0
Luke7810,0,0,1,0
sec-init,0,0,1,0
pangyikhei,0,2,6,0
steevo590,0,0,1,0
chriswhite199,0,0,6,0
disaster37,0,0,1,0
harsha-s,0,4,4,0
doctorpangloss,0,0,1,0
Larrik,0,0,1,0
elizabethwann,0,0,1,0
nomoa,4,6,19,0
hiaselhans,0,0,1,0
glenacota,0,3,3,0
