,name,cmt,add,del,fixes,files,comments,pr,issues,handle_issue
488,Matias Tealdi,1,0,0,1,3,,,,
489,paul-e-cooley,1,63,0,0,4,,,,
490,Petr Bela,1,1,1,1,1,,,,
491,mikemccand,1,4,2,0,1,845.0,138.0,222.0,168.0
492,Simon Willnauer,371,32195,36065,27,2591,,,,
493,Joshua Rich,4,1,1,2,1,,,,
494,Robert Muir,280,1,1,18,1,,,,
495,Al Lefebvre,1,2,0,0,1,,,,
496,Corey Daley,1,1,1,0,1,,,,
497,popovae,1,5,0,0,1,1.0,1.0,1.0,0.0
498,Asimov4,2,6,6,0,2,7.0,2.0,6.0,0.0
499,Devin Chollak,2,4,4,0,2,,,,
500,Tim Schlechter,2,1,4,0,2,,,,
501,Sylwester Lachiewicz,2,9,9,0,3,,,,
502,Glen Smith,1,1,0,0,1,,,,
503,Sebastian Monte,1,31,41,1,13,,,,
504,David Wittman,1,3,3,0,2,,,,
505,Lucas Chi,1,1,1,0,1,,,,
506,Ryan Schneider,1,3,0,0,1,,,,
507,Eike Dehling,1,41,2,0,2,,,,
508,Guillaume Dievart,1,1,1,0,1,,,,
509,B1nj0y,1,1,1,0,1,,,,
510,Maurizio De Magnis,1,1,1,0,1,,,,
511,Dustin Shiver,1,8,4,0,1,,,,
512,Christian Rohling,1,2,0,0,1,,,,
513,Isabel Drost-Fromm,72,2841,2247,16,121,,,,
514,joelbourbon,1,1,1,0,1,2.0,1.0,1.0,0.0
515,Stefan,1,14,14,0,1,,,,
516,blackorzar,1,4,0,0,1,2.0,2.0,2.0,0.0
517,marko asplund,1,8,8,1,1,,,,
